Main event name,match type,match name,score type,date,time,location,team A name,team A score,team B name,team B score
baseball,Group A,Match 1,Final,"Saturday, July 29, 2017",10:00,Elmwood Giants Field,Team Quebec,7,Team Saskatchewan,2
baseball,Group A,Match 5,Final,"Saturday, July 29, 2017",16:00,Elmwood Giants Field,Team Alberta,2,Team Saskatchewan,3
baseball,Group A,Match 11,Final,"Sunday, July 30, 2017",13:00,Elmwood Giants Field,Team Alberta,6,Team Quebec,4
baseball,Group A,Match 16,Final,"Monday, July 31, 2017",10:00,Elmwood Giants Field,Team Alberta,12,Team British Columbia,7
baseball,Group A,Match 19,Final,"Monday, July 31, 2017",16:00,Whittier Park,Team British Columbia,13,Team Quebec,8
baseball,Group A,Match 25,Final,"Tuesday, August 1, 2017",16:45,Elmwood Giants Field,Team Alberta,9,Team Quebec,5
baseball,Group A,Match 2,Final,"Saturday, July 29, 2017",10:00,Whittier Park,Team Alberta,12,Team British Columbia,2
baseball,Group A,Match 6,Final,"Saturday, July 29, 2017",16:00,Whittier Park,Team British Columbia,8,Team Quebec,5
baseball,Group A,Match 12,Not Available,"Sunday, July 30, 2017",16:00,Elmwood Giants Field,Team British Columbia,2,Team Saskatchewan,3
baseball,Group A,Match 17,Final,"Monday, July 31, 2017",10:00,Whittier Park,Team Quebec,2,Team Saskatchewan,4
baseball,Group A,Match 22,Final,"Monday, July 31, 2017",19:20,Whittier Park,Team Alberta,6,Team Saskatchewan,2
baseball,Group A,Match 27,Final,"Tuesday, August 1, 2017",19:00,Shaw Park,Team British Columbia,2,Team Saskatchewan,1
baseball,Group B,Match 3,Final after 6 innings,"Saturday, July 29, 2017",13:00,Elmwood Giants Field,Team New Brunswick,10,Team Newfoundland and Labrador,0
baseball,Group B,Match 7,Final,"Saturday, July 29, 2017",19:00,Elmwood Giants Field,Team Manitoba,11,Team Nova Scotia,1
baseball,Group B,Match 9,Final,"Sunday, July 30, 2017",10:00,Whittier Park,Team Nova Scotia,0,Team Ontario,1
baseball,Group B,Match 13,Not Available,"Sunday, July 30, 2017",16:00,Whittier Park,Team Prince Edward Island,1,Team Nova Scotia,4
baseball,Group B,Match 15,Not Available,"Sunday, July 30, 2017",19:00,Whittier Park,Team Manitoba,5,Team New Brunswick,0
baseball,Group B,Match 20,Final,"Monday, July 31, 2017",16:00,Shaw Park,Team New Brunswick,0,Team Ontario,7
baseball,Group B,Match 23,Final,"Tuesday, August 1, 2017",13:00,Elmwood Giants Field,Team Prince Edward Island,8,Team Newfoundland and Labrador,2
baseball,Group B,Match 26,Final,"Tuesday, August 1, 2017",16:30,Shaw Park,Team Manitoba,3,Team Ontario,2
baseball,Group B,Match 4,Final after 6 innings,"Saturday, July 29, 2017",13:00,Whittier Park,Team Prince Edward Island,4,Team Ontario,14
baseball,Group B,Match 8,Final,"Sunday, July 30, 2017",10:00,Elmwood Giants Field,Team Prince Edward Island,9,Team New Brunswick,2
baseball,Group B,Match 10,Final,"Sunday, July 30, 2017",13:00,Whittier Park,Team Manitoba,5,Team Newfoundland and Labrador,2
baseball,Group B,Match 14,Final,"Sunday, July 30, 2017",19:00,Elmwood Giants Field,Team Ontario,5,Team Newfoundland and Labrador,1
baseball,Group B,Match 18,Final,"Monday, July 31, 2017",13:00,Whittier Park,Team Nova Scotia,3,Team Newfoundland and Labrador,1
baseball,Group B,Match 21,Final,"Monday, July 31, 2017",19:00,Shaw Park,Team Prince Edward Island,4,Team Manitoba,10
baseball,Group B,Match 24,Final,"Tuesday, August 1, 2017",13:00,Whittier Park,Team New Brunswick,3,Team Nova Scotia,7
baseball,Quarter-Final,Match 28 - 3A vs 2B,Final,"Thursday, August 3, 2017",10:00,Elmwood Giants Field,Team British Columbia,1,Team Ontario,3
baseball,Placing,Match 29 - 6B vs 5B,Final,"Thursday, August 3, 2017",11:00,Whittier Park,Team New Brunswick,7,Team Newfoundland and Labrador,6
baseball,Placing,Match 33 - 4A vs L28,Final,"Friday, August 4, 2017",11:00,Whittier Park,Team British Columbia,7,Team Quebec,3
baseball,Placing,Match 30 - 4B vs 3B,Final,"Thursday, August 3, 2017",13:00,Elmwood Giants Field,Team Prince Edward Island,5,Team Nova Scotia,6
baseball,Semi-Final,Match 31 - 1B vs 1A,Final,"Thursday, August 3, 2017",16:00,Shaw Park,Team Alberta,0,Team Manitoba,1
baseball,Semi-Final,Match 32 - W28 vs 2A,Final,"Thursday, August 3, 2017",19:00,Shaw Park,Team Ontario,0,Team Saskatchewan,7
baseball,Final,Bronze/4th - L32 vs L31,Final,"Friday, August 4, 2017",16:00,Shaw Park,Team Alberta,5,Team Ontario,1
baseball,Final,Gold/Silver - W32 vs W31,Final,"Friday, August 4, 2017",19:15,Shaw Park,Team Manitoba,1,Team Saskatchewan,3
